Side,Symbol,Name,Order Price,Order Qty,Order Amount,Status,Filled@Avg Price,Order Time,Order Type,Time-in-Force,Allow Pre-Market,Session,Trigger price,Position Opening,Markets,Currency,Order Source,Fill Qty,Fill Price,Fill Amount,Fill Time,Markets,Currency,Counterparty,Remarks,Platform Fees,Consumption Tax,Settlement Fees,Trading Activity Fees,Consolidated Audit Trail Fees,Commission,Trading Fees,Clearing Fees,Total
Buy,C38,CapitaLand Integrated Commercial Trust,2.05,2000,4100.00,Filled,2000@2.04,"Feb 8, 2026 11:30:00 SGT",Limit,Day,,,,,SG,SGD,,2000,2.04,4080.00,"Feb 8, 2026 11:55:00 SGT",SG,SGD,,,0.99,0.27,,,,0.99,0.02,0.09,2.36
Buy,AMD,Advanced Micro Devices,175.50,10,1755.00,Filled,10@175.25,"Feb 10, 2026 13:00:00 ET",Limit,Day,,,,,US,USD,,10,175.25,1752.50,"Feb 10, 2026 13:05:00 ET",US,USD,,,0.99,0.15,0.01,0.01,0,0.99,,,2.15
Sell,OV8,Sheng Siong Group Ltd,3.05,500,1525.00,Filled,500@3.06,"Feb 15, 2026 10:00:00 SGT",Limit,Day,,,,,SG,SGD,,500,3.06,1530.00,"Feb 15, 2026 10:25:00 SGT",SG,SGD,,,0.99,0.10,,,,0.99,0.02,0.09,2.19
Dividend,OV8,Sheng Siong Group Ltd,0,0,22.50,Filled,,"Feb 20, 2026 00:00:00 SGT",Dividend,,,,,,SG,SGD,,0,0,22.50,"Feb 20, 2026 00:00:00 SGT",SG,SGD,,,,,,,,,,,0.00
Buy,VOO,Vanguard S&P 500 ETF,485.50,2,971.00,Filled,2@485.25,"Feb 22, 2026 10:00:00 ET",Limit,Day,,,,,US,USD,,2,485.25,970.50,"Feb 22, 2026 10:05:00 ET",US,USD,,,0.99,0.08,0.01,0.01,0,0.99,,,2.08
Buy,TSLA,Tesla Inc.,245.00,8,1960.00,Filled,8@244.80,"Feb 25, 2026 11:30:00 ET",Limit,Day,,,,,US,USD,,8,244.80,1958.40,"Feb 25, 2026 11:35:00 ET",US,USD,,,0.99,0.17,0.01,0.01,0,0.99,,,2.17
Buy,A17U,Ascendas REIT,2.68,1500,4020.00,Filled,1500@2.67,"Mar 1, 2026 09:15:00 SGT",Limit,Day,,,,,SG,SGD,,1500,2.67,4005.00,"Mar 1, 2026 09:40:00 SGT",SG,SGD,,,0.99,0.26,,,,0.99,0.02,0.09,2.35
Dividend,Z74,Singtel,0,0,85.00,Filled,,"Mar 5, 2026 00:00:00 SGT",Dividend,,,,,,SG,SGD,,0,0,85.00,"Mar 5, 2026 00:00:00 SGT",SG,SGD,,,,,,,,,,,0.00
Dividend,C38,CapitaLand Integrated Commercial Trust,0,0,48.00,Filled,,"Mar 10, 2026 00:00:00 SGT",Dividend,,,,,,SG,SGD,,0,0,48.00,"Mar 10, 2026 00:00:00 SGT",SG,SGD,,,,,,,,,,,0.00
Dividend,VOO,Vanguard S&P 500 ETF,0,0,6.40,Filled,,"Mar 15, 2026 00:00:00 ET",Dividend,,,,,,US,USD,,0,0,6.40,"Mar 15, 2026 00:00:00 ET",US,USD,,,,,,,,,,,0.00
